"מקט פריט","תיאור עברית","תיאור אנגלית","קיים?","מחיר ספק","קטגוריה","אחוז רווח","CBM","יחידות בקרטון","חסרים"
"300-5700","מארז סכום נצנץ (ארוז 60 יחי) 12 מארזים בקרטון","Glitter Cutlery  Box (packed 60) 12 in a case","כן","26.42","-","18","0.047","12","הכל בסדר"
"300-5701","מארז סכום זהב+ ידית לבן/שחור (ארוז 40) 12 מארזים בקרטון","White /black+ Gold Cutlery Box (packed 40) 12 in a case","כן","35.77","סכו"ם","18","0.041","12","הכל בסדר"
"300-5702","מארז סכום זהב+ ידית שחור (ארוז 30) 12 מארזים בקרטון","White /black+ Gold Cutlery Box (packed 30) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"300-5703","מארז סכו"ם נצנץ חסכוני (120 יח') ארוז 24 בקרטון","Combo Glitter Cutlery (packed 120) 24 in a case","כן","41.76","-","18","0.071","24","הכל בסדר"
"300-5720-1","מארז סכו"ם ורסאי מוזהב בקופסת PVC(50 יח') ארוז 12 בקרטון","Gold Versailles cutlery in PVC box (packed 50 ) 12 in a case","כן","18.84","סכו"ם","-","-","12","קטגוריה; CBM לקרטון"
"300-5720-2","מארז סכו"ם ורסאי רוזגולד בקופסת PVC(50 יח') ארוז 12 בקרטון","Rosegold Versailles cutlery in PVC box (packed 50 ) 12 in a case","כן","18.84","סכו"ם","-","-","12","קטגוריה; CBM לקרטון"
"300-5720-3","מארז סכו"ם ורסאי מוכסף בקופסת PVC(50 יח') ארוז 12 בקרטון","Silver Versailles cutlery in PVC box (packed 50 ) 12 in a case","כן","11.4","סכו"ם","-","-","12","קטגוריה; CBM לקרטון"
"300-5730-1","מארז סכו"ם פרימיום מוזהב(40 יח')ארוז 12 בקרטון","Gold Premium Cutlery in PVC box (packed 40 ) 12 in a case","כן","-","סכו"ם","-","-","12","מחיר ספק; קטגוריה; CBM לקרטון"
"300-5730-2","מארז סכו"ם פרימיום מוכסף(40 יח')ארוז 12 בקרטון","Silver Premium Cutlery in PVC box (packed 40 ) 12 in a case","כן","-","סכו"ם","-","-","12","מחיר ספק; קטגוריה; CBM לקרטון"
"300-5730-3","מארז סכו"ם פרימיום רוזגולד(40 יח')ארוז 12 בקרטון","Rosegold Premium Cutlery in PVC box (packed 40 ) 12 in a case","כן","-","סכו"ם","-","-","12","מחיר ספק; קטגוריה; CBM לקרטון"
"300-5730-4","מארז סכו"ם פרימיום שחור נצנץ(40 יח')ארוז 12 בקרטון","Black Glitter Premium Cutlery in PVC box (packed 40 ) 12 in a case","כן","-","סכו"ם","-","-","12","מחיר ספק; קטגוריה; CBM לקרטון"
"300-5781","מזלג שקוף (50 יח') ארוז 40 בקרטון","Fork PS (packed 50) 40 in a case","כן","17.9","-","18","0.025","40","הכל בסדר"
"300-5782","כף שקוף (50 יח') ארוז 40 בקרטון","Spoon PS (packed 50) 40 in a case","כן","18.5","-","18","0.028","40","הכל בסדר"
"300-5783","סכין שקוף (50 יח') ארוז 40 בקרטון","Knife PS (packed 50) 40 in a case","כן","17.9","-","18","0.02","40","הכל בסדר"
"300-5784","מזלג קרם (50 יח') ארוז 40 בקרטון","Fork PS (packed 50) 40 in a case","כן","22","-","18","0.028","40","הכל בסדר"
"300-5785","כף קרם (50 יח') ארוז 40 בקרטון","Cream Spoon PS(packed 50) 40 in a case","כן","22.8","-","18","0.038","40","הכל בסדר"
"300-5786","סכין קרם (50 יח') ארוז 40 בקרטון","Cream Knife PS (packed 50) 40 in a case","כן","11.15","-","18","0.021","40","הכל בסדר"
"300-5791","סכו"ם ארוז מלח פלפל שחור (3.7 גר') ארוז 500 בקרטון","Combo Pack Cutlery Black (3.7g) 500 in a case","כן","16.7","-","18","0.039","500","הכל בסדר"
"300-5792","סכו"ם ארוז מלח פלפל שחור(5 גר') ארוז 500 בקרטון","Combo Pack Cutlery Black (5g) 500 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"300-5793","סכו"ם ארוז מלח פלפל קרם(3.7 גר') ארוז 500 בקרטון","Combo Pack Cutlery Cream (3.7g) 500 in a case","כן","16.7","-","18","0.039","500","הכל בסדר"
"300-5794","סכו"ם ארוז מלח פלפל קרם(5 גר') ארוז 500 בקרטון","Combo Pack Cutlery Cream (5g) 500 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"300-5795","סכו"ם ארוז מלח פלפל שקוף (3.7 גר') ארוז 500 בקרטון","Combo Pack Cutlery Clear (3.7g) 500 in a case","כן","16.7","-","18","0.039","500","הכל בסדר"
"300-5796","סכו"ם ארוז מלח פלפל שחור (מפית מודפסת)ארוז 500 בקרטון","Combo Pack Cutlery Black(Printed napkin) 500 in a case","כן","18.5","-","18","0.039","500","הכל בסדר"
"300-5797","סכו"ם ארוז מלח פלפל סוכר שקוף (3.7 גר') ארוז 500 בקרטון","Combo Pack Cutlery+sugar Cleark (3.7g) 500 in a case","כן","23","-","18","0.039","500","הכל בסדר"
"300-5798","סכו"ם ארוז PS עובי 1.2 מ"מ מלח פלפל (4 גר') ארוז 500 בקרטון","Combo Pack Cutlery +napkin+salt pepper (4g) 500 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"300-5799","סכו"ם ארוז PP עובי 1.2 מ"מ מלח פלפל (3.5 גר') ארוז 500 בקרטון","Combo Pack Cutlery +napkin+salt pepper (3.5g) 500 in a case","כן","19.75","-","18","0.046","500","הכל בסדר"
"300-5800","סכו"ם ארוז עובי 1.2 מ"מ + מפית (2.8 גר') ארוז 500 בקרטון","Combo Pack fork+knife+napkin (2.8g) 500 in a case","כן","17.6","-","18","0.027","500","הכל בסדר"
"300-5851","כפית שקוף (50 יח') ארוז 40 בקרטון","Tea Spoon PS(packed 50) 40 in a case","כן","13.3","-","18","0.018","40","הכל בסדר"
"300-5852","כפית קרם (50 יח') ארוז 40 בקרטון","Cream Tea Spoon PS (packed 50) 40 in a case","כן","8.74","-","18","0.021","40","הכל בסדר"
"300-5853","סכין צבעוני (50 יח') ארוז 20 בקרטון","Colourful Knife PS (packed 50) 20in a case","כן","11.45","-","18","0.021","20","הכל בסדר"
"300-5854","מזלג צבעוני (50 יח') ארוז 20 בקרטון","Colourful Fork PS (packed 50) 20 in a case","כן","11.45","-","18","0.028","20","הכל בסדר"
"300-5855","כף צבעוני (50 יח') ארוז 20 בקרטון","Colourful Spoon PS(packed 50) 20 in a case","כן","11.74","-","18","0.038","20","הכל בסדר"
"300-5856","כפית צבעוני (50 יח') ארוז 20 בקרטון","Colourful  Tea Spoon PS (packed 50) 20 in a case","כן","8.95","-","18","0.021","20","הכל בסדר"
"300-5900","סכין PP לבן  (100יח') ארוז 40 בקרטון","Knife PP (packe 100) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"300-5901","מזלג PP לבן (100 יח') ארוז 40 בקרטון","Fork PP (packed 100) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"300-5902","כף PP לבן (100 יח') ארוז 40 בקרטון","Spoons PP(packed 100) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"300-5903","כפית PP לבן(100 יח') ארוז 40 בקרטון","Tea Spoon PP(packed (100) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2900","כוס קרטון 4OZ  (50 יח') ארוז 40 בקרטון","4OZ Paper Cup (packed 50) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2901","כוס קרטון 6OZ  (50 יח') ארוז 20 בקרטון","6OZ Paper Cup (packed 50) 20 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2902","כוס קרטון 7OZ  (50 יח') ארוז 60 בקרטון","7OZ Paper Cup (packed 50) 60 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2903","כוס קרטון 8OZ  (50 יח') ארוז 20 בקרטון","8OZ Paper Cup (packed 50) 20 in a case","כן","10.25","-","17","0.048","20","הכל בסדר"
"400-2904","כוס קרטון 9OZ  (50 יח') ארוז 40 בקרטון","9OZ Paper Cup (packed 50) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2905","כוס קרטון 10OZ  (50 יח') ארוז 20 בקרטון","10OZ Paper Cup (packed 50) 20 in a case","כן","11.3","-","17","0.057","20","הכל בסדר"
"400-2906","כוס קרטון 12OZ  (50 יח') ארוז 20 בקרטון","12OZ Paper Cup (packed 50) 20 in a case","כן","12.5","-","17","0.073","20","הכל בסדר"
"400-2907","כוס קרטון 8B 210gsm (50 יח') ארוז 40 בקרטון","8B Paper Cup 210gsm (packed 50) 40 in a case","כן","12.15","-","17","0.07","40","הכל בסדר"
"400-2908","כוס קרטון 8OZ  (20 יח') ארוז 75 בקרטון","8OZ Paper Cup (packed 20) 75 in a case","כן","22.5","-","17","0.071","75","הכל בסדר"
"400-2909","כוס קרטון 8B  (40 יח') ארוז 50 בקרטון","8B Paper Cup (packed40) 50 in a case","כן","15","-","17","0.072","50","הכל בסדר"
"400-2910","כוס קרטון 16OZ  (50 יח') ארוז 20 בקרטון","16OZ Paper Cup (packed 50) 20 in a case","כן","16.2","-","17","0.086","20","הכל בסדר"
"400-2911","כוס קרטון 4OZ (50 יח') ארוז 20 בקרטון","4OZ Paper Cup (packed 50) 20 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2912","כוס קרטון 8B  (40 יח') ארוז 25 בקרטון","8B Paper Cup (packed 40) 25 in a case","כן","6.85","-","17","0.038","25","הכל בסדר"
"400-2913","כוס קרטון 8B  (50 יח') ארוז 20 בקרטון","8B Paper Cup (packed 50) 20 in a case","כן","6.65","-","17","0.04","20","הכל בסדר"
"400-2914","כוס קרטון 2.5OZ  (50 יח') ארוז 40 בקרטון","2.5OZ Paper Cup (packed 50) 40 in a case","כן","-","-","17","-","40","מחיר ספק; CBM לקרטון"
"400-2915","כוס קרטון 12OZ  (40 יח') ארוז 25 בקרטון","12OZ Paper Cup (packed 40) 25 in a case","כן","13.8","-","17","0.075","1","הכל בסדר"
"400-2916","כוס קרטון 8B 190gsm (50 יח') ארוז 40 בקרטון","8B Paper Cup 190gsm (packed 50) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2917","כוס קרטון 8B 230gsm (50 יח') ארוז 40 בקרטון","8B Paper Cup 230gsm (packed 50) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2918","כוס קרטון 16OZ (25 יח') ארוז 40 בקרטון","16OZ Paper Cup  (packed 25) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2920","כוס קרטון 8OZ+מכסה  (16 יח') ארוז 40 בקרטון","8OZ Paper Cup+Lid (packed 16) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-2925","כוס קרטון 8B  (40 יח') ארוז 25 בקרטון","8B Paper Cup (packed 40) 25 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"400-4300","מכסה לכוס קרטון 8B (50 יח') ארוז 20 בקרטון","Lid for 8B Paper Cup (packed 50) 20 in a case","כן","7.1","-","17","0.031","20","הכל בסדר"
"400-4301","מכסה לכוס קרטון 8OZ (50 יח') ארוז 20 בקרטון","Lid for 8OZ Paper Cup (packed 50) 20 in a case","כן","7.1","-","17","0.031","20","הכל בסדר"
"410-3000","כוס PET מ"ל 250 9OZ(50 יח') ארוז 40 בקרטון","PET Cup 250 ml 9OZ(packed 50) 40 in a case","כן","29.37","-","15","0.087","40","הכל בסדר"
"410-3001","כוס PET מ"ל 250 9OZ(40 יח') ארוז 50 בקרטון","PET Cup 250 ml 9OZ(packed 40) 50 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"410-3002","כוס קשיחה 10oz (20 יח') ארוז 24 בקרטון","10oz cup round bottom (packed 20) 24 in a case","כן","18.72","-","15","0.036","24","הכל בסדר"
"410-3003","כוס קשיחה נצנץ בסיס עגול 10oz (20 יח') ארוז 24 בקרטון","10oz cup glitter round bottom (packed 20) 24 in a case","כן","14.4","-","15","0.036","24","הכל בסדר"
"410-3005","כוס קשיחה בסיס מרובע 10oz (20 יח') ארוז 24 בקרטון","10oz cup sqaure bottom (packed 20) 24 in a case","כן","-","-","15","0.046","24","מחיר ספק"
"410-3006","כוס קשיחה נצנץ בסיס מרובע 10oz (20 יח') ארוז 24 בקרטון","10oz cup glitter sqaure bottom (packed 20) 24 in a case","כן","-","-","15","0.046","24","מחיר ספק"
"410-3007","כוס קשיחה בסיס מרובע 7oz (20 יח') 7*3.9*8.6  ארוז 24 בקרטון","7oz cup sqaure bottom (packed 20) 7*3.9*8.6  24 in a case","כן","-","-","15","0.028","24","מחיר ספק"
"410-3008","כוס קשיחה נצנץ בסיס מרובע 7oz (20 יח') 7*3.9*8.6 ארוז 24 בקרטון","7oz cup glitter sqaure bottom (packed 20) 7*3.9*8.6  24 in a case","כן","-","-","15","0.028","24","מחיר ספק"
"410-3009","כוס קשיחה 7oz (20 יח') 6.7*4.3*8.5 ארוז 24 בקרטון","7oz cup (packed 20) 6.7*4.3*8.5 24 in a case","כן","-","-","15","0.024","24","מחיר ספק"
"410-3010","כוס קשיחה נצנץ 7oz (20 יח') 6.7*4.3*8.5 ארוז 24 בקרטון","7oz cup glitter (packed 20) 6.7*4.3*8.5 24 in a case","כן","-","-","15","0.024","24","מחיר ספק"
"410-3011","כוס קשיחה שקוף 8oz (18 יח') ארוז 24 בקרטון","8oz cup clear (packed 18) 7.3*4.8*8.7 24 in a case","כן","11.6","-","15","0.029","24","הכל בסדר"
"410-3012","כוס קשיחה נצנץ 8oz (18 יח') ארוז 24 בקרטון","8oz cup glitter (packed 18) 7.3*4.8*8.7 24 in a case","כן","12.15","-","15","0.029","24","הכל בסדר"
"410-3013","כוס קשיחה שחור שקוף נצנץ 8oz (18 יח')  ארוז 24 בקרטון","8oz cup clear black glitter (packed 18) 7.3*4.8*8.7 24 in a case","כן","12.49","-","15","0.029","24","הכל בסדר"
"410-3014","כוס קשיחה נצנץ 10oz (22 יח') ארוז 24 בקרטון","10oz cup clear glitter (packed 22) 24 in a case","כן","19.98","-","15","0.04","24","הכל בסדר"
"410-3015","כוס קשיחה שחור שקוף  10oz (22 יח')  ארוז 24 בקרטון","10oz cup clear black (packed 22) 24 in a case","כן","19.98","-","15","0.04","24","הכל בסדר"
"410-3016","כוס קשיחה פס זהב 10oz (20 יח') ארוז 24 בקרטון","10oz cup clear gold rim (packed 20) 24 in a case","כן","18.17","-","15","0.038","24","הכל בסדר"
"410-3100","כוס ליקר 1OZ (40 יח') ארוז 36 בקרטון","Shot Cup 1OZ(packed 40)36 in a case","כן","11.48","-","15","0.023","36","הכל בסדר"
"410-3101","כוס ליקר 2OZ מרובע (20 יח') ארוז 20 בקרטון","Square Shot Cup 2OZ(packed 20) 20 in a case","כן","5.32","-","15","0.009","20","הכל בסדר"
"410-3102","כוס ליקר 1OZ (40 יח') ארוז 50 בקרטון","Shot Cup1OZ(packed 40) 50 in a case","כן","15.51","-","15","0.23","50","הכל בסדר"
"410-3103","כוס ליקר 1OZ (100 יח') ארוז 24 בקרטון","Shot Cup 1OZ(packed 100) 24 in a case","כן","17.32","-","15","-","24","CBM לקרטון"
"410-3104","כוס ליקר 2OZ מרובע (60 יח') ארוז 24 בקרטון","Square Shot Cup 2OZ(packed 60) 24 in a case","כן","19.15","-","15","0.029","24","הכל בסדר"
"410-3400","כוס 180ml  PP משקל 1.3 גר' (100 יחי') ארוז 30 בקרטון","pp cup 180 ml 1.3gr' (packed 100) 30 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"410-3401","כוס 200ml  PP משקל 1.3 גר' (100 יחי') ארוז 30 בקרטון","pp cup 200 ml 1.3gr' (packed 100) 30 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"410-3500","כוס קריסטל","Crystal cup","לא","-","-","-","-","-","פריט לא קיים במערכת"
"410-3600","כוס טרמית שומר קור /חום 500 ml  ארוז 50 בקרטון","A thermal cup keeps cold/heat 500 ml 50 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"420-200407","מכסה קרטון לתבנית 407(500 יח')","Liid for Ract Pan ( Packed 500)","כן","8.5","-","-","-","500","קטגוריה; CBM לקרטון"
"420-200409","מכסה קרטון לתבנית 409(500 יח')","Lid for 1LB Loaf Pan( Packed 500)","כן","8.95","-","-","-","500","קטגוריה; CBM לקרטון"
"420-200410","מכסה קרטון לתבנית 410(500 יח')","Lid for Small Loaf Pan(Packed 500)","כן","11.11","-","-","-","500","קטגוריה; CBM לקרטון"
"420-200501","מכסה קרטון לתבנית 501(500 יח')","Lid for Oblong 1.1/12 lb Pan( Packed 500)","כן","7.2","-","-","-","500","קטגוריה; CBM לקרטון"
"420-200504","מכסה קרטון לתבנית 504(500 יח')","Lid for Oblong 2.1/4 lb Pan(packed 500)","כן","9.35","-","-","-","500","קטגוריה; CBM לקרטון"
"420-200505","מכסה קרטון לתבנית 505(500 יח')","Lid for 10" Pan (packed 500)","כן","22.3","-","-","-","500","קטגוריה; CBM לקרטון"
"420-200506","מכסה קרטון לתבנית 506(500 יח')","Lid for Oblong 5 lb Pan(packed 500)","כן","18.75","-","-","-","500","קטגוריה; CBM לקרטון"
"420-200R31","מכסה קרטון לתבנית R31(500 יח')","Lid for Aluminum Pan R31 (packed 500)","כן","30.7","-","-","-","500","קטגוריה; CBM לקרטון"
"450-2200","מאפינס  6 ס"מ(40 יח') ארוז 30 בקרטון","Small Muffins 6cm(packed 40) 30 in a case","כן","9.45","-","20","0.035","30","הכל בסדר"
"450-2201","מאפינס  7ס"מ(40 יח') ארוז 30 בקרטון","Large Muffins 7cm(packed 40) 30 in a case","כן","11.34","-","20","0.051","30","הכל בסדר"
"450-2202","מאפינס מטאלי 7 ס"מ בקופסא (20 יח') ארוז 30 בקרטון","Metallic Muffins 7cm  in pvc box (packed 20) 30 in a case","כן","15","-","20","0.017","30","הכל בסדר"
"450-2203","מאפינס 6 ס"מ (40 יח') ארוז 60 בקרטון","color muffins 6cm(packed 40) 60 in a case","כן","14.37","-","20","0.06","60","הכל בסדר"
"450-2204","מאפינס 7 ס"מ(40 יח') ארוז 60 בקרטון","color muffins 7cm(packed 40) 60 in a case","כן","17.1","-","20","0.08","60","הכל בסדר"
"450-2205","מאפינס קטן קוטר 6 ס"מ (50 יח') ארוז 24 בקרטון","Small Muffins 6cm (packed 50) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2206","מאפינס גדול קוטר 7ס"מ (50 יח') ארוז 24 קרטון","Large Muffins 7cm (packed 50) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2207","מאפינס מטאלי 6 ס"מ בקופסא (20 יח') ארוז 30 בקרטון","Metallic Muffins 6cm  in pvc box (packed 20) 30 in a case","כן","16.38","-","20","0.013","30","הכל בסדר"
"450-2208","מאפינס 6 ס"מ (40 יח') בקופסאת PVC ארוז 60 בקרטון","color muffins 6cm (packed 40) in PVC box 60 in a case","כן","22.8","-","20","0.062","60","הכל בסדר"
"450-2300","מנג'ט נייר 1.5 ס"מ(130 יח') ארוז 24 בקרטון","Small Cupcake kit  1.5 cm  (packed 130) 24  in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2301","מנג'ט נייר 1.5 ס"מ(200 יח') ארוז 25*4 בקרטון","Small Cupcake kit (packed 200) 4*25 in a case","כן","42.55","-","20","0.025","100","הכל בסדר"
"450-2302","מנג'ט נייר 3 ס"מ(200יח') ארוז 25*4 בקרטון","Medium Cupcake kit (packed 200) 4*25 in a case","כן","47.3","-","20","0.02","100","הכל בסדר"
"450-2303","מנג'ט נייר 4 ס"מ(200 יח') ארוז 25*2 בקרטון","Large Cupcake kit (packed 200) 25*2 in a case","כן","28.3","-","20","0.022","50","הכל בסדר"
"450-2400","מפיות תלת שכבתיות ( 20 יחי') ארוז 24 בקרטון","Napkins 3 ply (packed 20) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2500","תבנית אינגלישקייק קשיחה מנייר(3 יח') ארוז 60 בקרטון","English cake paper pan (packed 3) 60in a case","כן","21.84","-","20","0.058","60","הכל בסדר"
"450-2500/10","תבנית אינגלישקייק קשיחה מנייר(10 יח') ארוז  36 בקרטון","English cake paper pan (packed 10) 36  in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2500/8","תבנית אינגלישקייק קשיחה מנייר(8 יח') ארוז  36 בקרטון","English cake paper pan (packed 8) 36  in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2501","תבנית בינונית קשיחה מנייר(4 יח') ארוז 24 בקרטון","Medium paper pan (packed 4) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2502","תבנית גדולה קשיחה מנייר(3 יח') ארוז 24 בקרטון","Large paper pan (packed 3) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2503","תבנית נייר סבתא 12" ארוז 250 בקרטון","paper baking mold with center hole 12" , 250  in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2504","תבנית נייר סבתא 18" ארוז 250 בקרטון","paper baking mold with center hole 18" , 250  in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2505","תבנית נייר סבתא 22" ארוז 250 בקרטון","paper baking mold with center hole 22" , 250  in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2506","תבנית נייר עגולה 12 ס"מ","","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2507","תבנית נייר עגולה 18 ס"מ","","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2508","תבנית נייר עגולה 22 ס"מ","","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-2900","תבנית אישית נפתחת (50 יח') ארוז 30 בקרטון","Cupcakes (packed 50) 30 in case","כן","15.9","-","20","0.024","30","הכל בסדר"
"450-2901","תבנית אישית נפתחת פרח (50 יח') ארוז 30 בקרטון","PET  Flower Cupcakes (packed 50) 30 in case","כן","19.5","-","20","0.067","30","הכל בסדר"
"450-2902","תבנית אישית נפתחת ארוז בPET (50 יח') ארוז 48 קרטון","PET cupcakes in PVC packaging (packed 50) 48 in case","כן","22.56","-","20","0.048","48","הכל בסדר"
"450-7390","נייר טוליפ למאפינס (50 יח') ארוז 30 בקרטון","Tulip Paper (packed 50) 30 in a case","כן","19.5","-","20","0.039","30","הכל בסדר"
"450-7391","תבנית מלבן מטאלי בקופסא(10 יח') ארוז 48 בקרטון","Metallic Rect Pan in pvc box (packed 10) 48 in case","כן","18.24","-","20","0.032","48","הכל בסדר"
"450-7392","תבנית מרובע מטאלי בקופסא(10 יח') ארוז 48 בקרטון","Metallic Square Pan in pvc box (packed 10) 48 in case","כן","18.24","-","20","0.03","48","הכל בסדר"
"450-7395","מארז מסיבה (מנגטים + קיסמים 240+24) ארוז 48 בקרטון","Party Pack Cupcakes +Toothpicks (240+24 Pack) 48 in case","כן","31.2","-","20","0.039","48","הכל בסדר"
"450-7396","מארז מסיבה בקופסא (מנג'טים+קיסמים 100+24) ארוז 30 בקרטון","Party box (Cupcakes +Toothpicks 100+24) 30 in case","כן","19.5","-","20","0.029","30","הכל בסדר"
"450-7397","תבנית אישית נפתחת בקופסא(24 יח') ארוז 40 בקרטון","cupcakes pet in a box (packed 24) 40 in case","כן","19.2","-","20","0.034","40","הכל בסדר"
"450-7398","מארז מאפינס+קיסמים בקרטון (24+24) ארוז 40 בקרטון","muffins+ toothpicks in carton box (24+24) 40 in case","כן","26","-","20","0.06","40","הכל בסדר"
"450-7399","תבנית אישית נפתחת בשרינק (40 יח') ארוז 60 בקרטון","cupcakes pet in a shrink (packed 40) 60 in case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-7400","מארז קאפקייקס לפורים( 2 יח') ארוז 40 בקרטון","cake boxe set-die line( Pack 2)40 in case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-7401","קופסת זהב לשוקולדים (2 יח') ארוז 50 בקרטון","Gold chocolates box (2 Pack) 50 in case","כן","29.7","-","20","0.046","50","הכל בסדר"
"450-7402","קופסא עגולה שקופה 2 קומות(1 יח') ארוז 52 בקרטון","Clear Cake Boxes (1 Pack) 52 in case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-7403","קופסת קרטון גדולה לפורים (1יח') ארוז 120 בקרטון","Larg carton box(1 Pack) 120 in case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-7404","קופסת קרטון לאינגלישקייק(3 יח') ארוז 48 בקרטון","Box with a window (packed 3) 48 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-7406","קופסת קרטון לאינגלישקייק(300 יח')","Box with a window (packed 300)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"450-7500","מארז סט מסיבה  (8 פריטים מסוג) ארוז 12 בקרטון","party set (8 pcs per item) 24 in a case","כן","20.76","-","20","0.103","12","הכל בסדר"
"455-2400-1","מפיות תלת שכבתיות דגם A1 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A1 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-10","מפיות תלת שכבתיות דגם A10 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A10 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-11","מפיות תלת שכבתיות דגם A11 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A11 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-12","מפיות תלת שכבתיות דגם A12 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A12 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-13","מפיות תלת שכבתיות דגם A13 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A13 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-14","מפיות תלת שכבתיות דגם A14 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A14 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-15","מפיות תלת שכבתיות דגם A15 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A15 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-16","מפיות תלת שכבתיות דגם A16 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A16 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-17","מפיות תלת שכבתיות דגם A17 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A17 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-18","מפיות תלת שכבתיות דגם A18 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A18 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-19","מפיות תלת שכבתיות דגם A19 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A19 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-2","מפיות תלת שכבתיות דגם A2 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A2 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-20","מפיות תלת שכבתיות דגם A20 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A20 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
"455-2400-21","מפיות תלת שכבתיות דגם A21 ( 20 יחי') ארוז 12 בקרטון","Napkins 3 ply A21 design (packed 20) 12 in a case","כן","3.78","-","20","0.008","1","הכל בסדר"
